is_number,year,title,revision,section,scope,key_requirements,reference
IS 7181 : 1986,1986,"HORIZONTALLY CAST IRON DOUBLE FLANGED PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,"Requirements for double flanged cast iron 2.2 Nominal Thickness — 10.0, 10.5, 11.1, 11.7, 12.8, pipes of Class B only up to dn 750 for pressure main 14.0, 15.2, 16.3, 17.5, 18.7, 19.8, 22.2, 24.5 and 25.6 lines of water, gas and sewage manufactured by corresponding to nominal diameters 80 to 750 mm horizontal castings in sand moulds. respectively. 5. Tolerances","lines of water, gas and sewage manufactured by corresponding to nominal diameters 80 to 750 mm | 2.1 Tensile Test — Minimum 150 MPa. | 2.2 Hardness — Not more than 230 HBS. DN mm | e = thickness of wall in mm, and | DN Pressure Maximum b = thickness of flange in mm. | Working 5.3 On length — ± 10 mm | MPa MPa | Upto and including 300 mm 2.5 1.2 6.1 Coating shall not be applied to any pipe unless its | Over 300 mm and upto and 2.0 1.0 surfaces are clean, dry and free from rust. | including 600 mm | Over 600 mm 1.5 0.6 6.2 In all cases where the coating material has a tar or | 65°C but not so brittle at a temperature of 0°C as to chip",
IS 8329 : 2000,2000,"CENTRIFUGALLY CAST (SPUN) DUCTILE IRON PRESSURE PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,"Specifies the requirements and 1.5. Fittings conforming to IS 13382 : 1992* may also be associated test methods applicable to ductile iron pipes used with ductile iron pipes, when the pressure manufactured in metal (lined or unlined) or sand moulds requirements matches. and their joints for the construction of pipe lines :","properties and standard coatings and linings of ductile e = wall thickness in mm | suitable for fluid temperatures between 0°C and 50°C, Dia Main | A separate standard IS : 9523 covers the specification 2.4 Minimum classes for screwed or welded on flange | MINIMUM CLASS FOR DUCTILE IRON FLANGED PIPES | Dia Minimum Minimum | Nominal Minimum Minimum | d) Restrained joints (dn) mm Strength at Break, | Note – For details see 6 of the standard. MPa Percent | push on joints and mechanical joints, and as per IS 638: 5.2. Brindl hardness shall not exceed 230 HB. | Nominal ‘P’- Minimum Hydrostatic Test Pressure at Works, MPa | mm Centrifugally cast pipes with Pipes with screwed or | Where “P” is the hydrostatic test pressure at works in MPa, maintained for atleast 10 s, and the pipe shall not show any sign of",
IS 8794 : 1988,1988,CAST IRON DETACHABLE JOINTS FOR USE WITH ASBESTOS CEMENT PRESSURE PIPES,First Revision,Sanitary Appliances and Water Fittings,Requirements for cast iron detachable Nominal Class External joints to be used with asbestos cement pressure pipes Dia Dia of conforming to IS 1592 : 1989*. AC Pipe dn D2,"3.2 Tensile strength — Min. of 150 MPa. 300 5 322.5 | per IS : 1592-1989 maintained for minimum of 15 seconds. 350 5,10 379.5 | of 65°C but not so brittle at a temperature of 0°C as to","For detailed information, refer to IS 8794 : 1988."
IS 9523 : 2000,2000,"DUCTILE IRON FITTINGS FOR PRESSURE PIPES FOR WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,,"Diameter casting Strength break, percent | pipes for water, gas and sewage sizes for 80 to 200mm | (Mpa) (Min) (Min) | 1.2 Applicable to fittings meant for mechanical joints 3.2 Hardness test— Shall not exceed 250 HBS. | 1200, 1400, 1600, 1800 and 2000 mm. | 1.5 A suitable for fluid temperature between 0°C and table 3 to 7 and for fittings table 15 to 31. Tolerances for",
IS 10292 : 1988,1988,DIMENSIONAL REQUIREMENTS FOR RUBBER SEALING RINGS FOR C I D. JOINTS IN ASBESTOS CEMENT PIPING,First Revision,Sanitary Appliances and Water Fittings,"Specifies the dimensional requirements 2. General — Requirements of rubbr sealing rings for rubber sealing rings to be used with cast iron as specified in IS 5382 : 1985, shall be complied with. detachable joints conforming to IS 8794 : 1988* for joining The rubber rings shall conform to type 3 of IS 5382 : the asbestos cement pressure pipes conforming to IS 1985. 1592 : 1989+. This standard covers the dimensions of rubber sealing rings having circular cross section only, 3. Dimensions — See Table up to 600 mm nominal diameter.",up to 600 mm nominal diameter. | mm mm | 4. Tolerances — A tolerance of ± mm shall be,"For detailed information, refer to IS 10292 : 1988."
IS 10299 : 1982,1982,CAST IRON SADDLE PIECES FOR SERVICE CONNECTION FROM ASBESTOS CEMENT PRESSURE PIPES,,Sanitary Appliances and Water Fittings,Requirements for cast iron saddle piece 3. Tests for service connection from asbestos cement pressure pipes conforming to IS 1592 : 1989* 3.1. Tensile test— Minimum 150 MPa. 3.2 Brinell Hardness — Not more than 215 HB.,pipes conforming to IS 1592 : 1989* 3.1. Tensile test— Minimum 150 MPa. | 3.2 Brinell Hardness — Not more than 215 HB. | (DN) (t) (b) (d) (t1) Max Kg | Dimensions Tolerances mm 7.1 Coating shall not be applied to any part unless its | 6. Mass— Shall be calculated by taking the density of of 77°C but not so brittle at a temperature of 0°C as to | the cast iron as 7.15 kg/dm3. Tolerance shall be –5 chip off when scribed lightly with a penknife. | percent. No unit for plus tolerance is specified.,
IS 12820 : 2004,2004,"DIMENSIONAL REQUIREMENTS OF RUBBER GASKETS FOR MECHANICAL JOINTS AND PUSH-ON JOINTS FOR USE WITH CAST IRON PIPES AND FITTINGS FOR CARRYING WATER, GAS AND SEWAGE",First Revision,Sanitary Appliances and Water Fittings,"Specifies the dimensional requirements TABLE 2 DIMENSIONS OF RUBBER for rubber gaskets to be used in cast iron pipes/fittings GASKETS FOR MECHANICAL for the mechnical joints and push-on flexible joints for JOINT carrying water, gas and sewage. All dimensions in millimetres.",(mm) (mm) | Diameter (mm) (mm),"For detailed information, refer to IS 12820 : 2004."
IS 12987 : 1991,1991,CAST IRON DETACHABLE JOINTS FOR USE WITH ASBESTOS CEMENT PRESSURE PIPES (LIGHT DUTY),,Sanitary Appliances and Water Fittings,Covers the requirements for cast iron Note — Nominal diameter of detachable joint shall refer to detachable joints to be used with asbestos cement the corresponding nominal diameter of the asbestos cement pressure pipes. pressure pipes (light duty) conforming to IS 9627:1980.* 5. Coatings,"3.1 Tensile Strength — Minimum of 150 MPa. 5.2 All cast iron parts shall be coated externally and | 3.2 Brinell Hardness — Not more than 215 HBs. heated prior to total immersion in a bath containing a | 4.1 Nominal Dia — 50, 80, 100, 125, 150, 200 mm with of 66°C but not so brittle at a temperature of 0°C as to",
IS 12988 : 1991,1991,DIMENSIONAL REQUIREMENTS FOR RUBBER SEALING RINGS FOR CID JOINTS FOR LIGHT DUTY,,Sanitary Appliances and Water Fittings,"Specifies the dimensional requirement for Nominal Class Inner Dia Cross Number rubber sealing rings to be used with cast iron detachable Dia of Pipe “φY” Sectional Per joints conforming to IS : 12987 : 1991* for joining light & Joint Dia,φ X” Set duty asbestos cement pressure pipes conforming to IS mm mm mm : 9627 1980* 50 5 and 10 60 10 2 80 5 and 10 90 14 2",duty asbestos cement pressure pipes conforming to IS mm mm mm | 4.1 A tolerance of − 0.0 mm shall be alllowed on cross | sectional diameter “ØX” and ± 1 percenton inner dia,
IS 13382 : 2004,2004,"CAST IRON SPECIALS FOR MECHANICAL AND PUSH ON FLEXIBLE JOINTS FOR PRESSURE PIPE LINES FOR WATER, GAS AND SEWAGE",First revision,Sanitary Appliances and Water Fittings,"Requirements for cast iron special 3.3 The bolt hole circles shall be concentric with the castings to be used with pressure pipes for carrying bore and shall be located off the centre line, unless water, gas and sewage for sizes from DN 80 mm up to 1 otherwise specified by the purchaser. Where there are 500 mm cast iron and ductile iron. two or more flanges, the bolt holes shall be correctly aligned. 1.2. This standard is applicable to fittings meant for 3.4 The flanges shall be plain faced over the contact mechanical joints (bolted gland), push-on-joints (single surface with a tool mark finishing having a pitch of 1 ± rubber gasket) and flanged joints. 0.3 mm, serrations may be spiral or concentric.","water, gas and sewage for sizes from DN 80 mm up to 1 otherwise specified by the purchaser. Where there are | 500 mm cast iron and ductile iron. two or more flanges, the bolt holes shall be correctly | 0.3 mm, serrations may be spiral or concentric. | 5.1 Tensile Test — Minimum 150 MPa. | entry of pipe in the socket of the casting fitted with 5.2 Hardness Test — Not more than 210 HBS. | mm MPa MPa | 125, 150, 200, 250, 300, 350, 400, 450, 500, 600, 700,750, mm | to flow when exposed to a temperature of 65°C but not | so brittle at a temperature of 0°C as to chip off when","For detailed information, refer to IS 13382 : 2004."
IS 11925 : 1986,1986,PITCH IMPREGNATED FIBRE PIPES AND FITTINGS FOR DRAINGAGE PURPOSES,,Sanitary Appliances and Water Fittings,"Covers materials, dimension and methods 3.2 Perforated Pipes of testing of pitch impregnated fibre pipes and fittings in diametrs ranging from 50 to 200 mm for drainage 3.2.1 Perforations shall be evenly spaced on rows purposes below and above ground level. parallel to the axis of the pipe. 3.2.2 The perforations shall be not less than 5 mm dia 1.2 The standard also covers perforated pipes of the and not greater than 16 mm dia and the spacing in any same materials for sub-surface drainage. row of perforations shall be 150± 10 mm between adjacent holes in that row.","in diametrs ranging from 50 to 200 mm for drainage 3.2.1 Perforations shall be evenly spaced on rows | 3.2.2 The perforations shall be not less than 5 mm dia | 1.2 The standard also covers perforated pipes of the and not greater than 16 mm dia and the spacing in any | same materials for sub-surface drainage. row of perforations shall be 150± 10 mm between | For pipes up to 100 mm bore there shall be two rows | of ± 25 mm. Variation from straight length maximum of polypropylene polymer or copolymer composed | Nominal Bore, mm | Limites of internal 50 75 100 125 150 200 225 Nominal Bore, mm | Minimum 50 75 100 125 150 200 225 Minimum thickness 50 75 100 125 150 200 225 | Maximum 54 80 106 133 160 213 239 below ground work 3.5 3.5 4.0 5.2 5.2 7.0 7.0 | 3.1.2 Pipes shall be made with ends suitable for the Minimum thickness 2.7 2.7 2.7 3.8 3.8 3.8 3.8 | 6.1.1 Chemical resistance — Shall not show any percent at the point of application of the load.",
IS 3076 : 1985,1985,LOW DENSITY POLYETHYLENE PIPES FOR POTABLE WATER SUPPLIES,Second Revision,Sanitary Appliances and Water Fittings,Requirements for low density black 3.2 The material used for extrusion shall be dried to polyethylene pipes of outside diameters up to 140 mm bring the moisture content to less than 0.1 percent by for use in potable water supplies. mass. 3.3 The percentage of antioxidant used shall be not,polyethylene pipes of outside diameters up to 140 mm bring the moisture content to less than 0.1 percent by | 3.3 The percentage of antioxidant used shall be not | more than 0.3 percent by mass. | at 27°C 3.4 The carbon black used shall comply with the | Class 1 0.25 MPa following : | Class 2 0.4 MPa | Class 3 0.6 MPa | b) Volatile matter : not more than 9 percent when tested | Class 4 1.0 MPa | c) Toluene extract : not more than 0.1 percent by mass | modified as gives in figure of the wtameland. d) The percentage of carbon black in the material shall be | density (virgin polymer) of not more than 0.928 g/ml at,
IS 4984 : 1995,1995,HIGH DENSITY POLYETHYLENE PIPES FOR WATER SUPPLY,Fourth Revision,Sanitary Appliances and Water Fittings,"Requirements for high density 2.4 Nominal Diameter (dn) — The nominal diameter polyethylene pipes from 16 mm to 1000 mm nominal of pipes covered in this standard are : diameter of pressure rating from 0.25 MPa to 1.6 MPa in material grades of PE 63, PE 80, and PE 100, for use for 16, 20, 25, 32, 40, 50, 63, 75, 90, 110, 125, 140,160, buried water mains and services and for water supply 180, 200, 225, 250, 280,315, 355,00, 450, 560, 630, above ground, both inside and outside buildings. 710, 800, 900 and 1000 mm.","polyethylene pipes from 16 mm to 1000 mm nominal of pipes covered in this standard are : | diameter of pressure rating from 0.25 MPa to 1.6 MPa in | above ground, both inside and outside buildings. 710, 800, 900 and 1000 mm. | 1.0 MPa and outside nominal diameter 200 mm. | exception that melt flow rating (MFR) shall not exceed | Sl. Material MRS Maximum 1.10 g / 10 minutes. In addition the material shall also | No. Grade (Minimum Required Allowable conform to 5.6.2 of IS 7328:1992. | Material in MPa Design Stress The specified base density shall be between 940.5 | at 20°C, 50 years (σ) MPa | kg/m3 and 946.4 kg/m3 (both inclusive) when determined | At 20°C At 30°C at 27°C. The value of the density shall also not differ | (1) (2) (3) (4) (5) from the nominal value by more than 3 kg/m3.",
IS 4985 : 2000,2000,UNPLASTICIZED PVC PIPES FOR POTABLE WATER SUPPLIES,Third Revision,Sanitary Appliances and Water Fittings,,"1.1 Requirements for plain end as well as socket end Diameter mm Diameter mm | Class 1 0.25 MPa (2.5kg/cm2) 225 225.0 225.8 | Class 2 0.4 MPa (4.0 kg/cm2) 280 280.0 280.9 | Class 3 0.6 MPa (6.0 kg/cm2) 335 355.0 356.1 | Class 4 0.8 MPa (8.0 kg/cm2) 400 400.0 401.2 | Class 5 1.0 MPa (10.0 kg/cm2) 450 450.0 451.2 | Class 6 1.25 MPa (12.5kg/cm2) 500 500.0 501.5 | Note— The above pipes are recommended for water 630 630.0 631.9 | temperature ranging from + 1 to 45 0C, The recommended | maximum safe working stress for these pipes is 8.6 MPa at 4.2 Dimensions of UPVC Plain End Pipe for Plumbing | with fig1 of the standard. Nominal Outside Mean Outside Diameter, mm | Polyvinyl chloride (PVC) and its copoplymers for use in contact more than 0.2 percent of the visible light falling on it.",
IS 7834 : 1987,1987,INJECTION MOULDED PVC SOCKET FITTINGS WITH SOLVENT CEMENT JOINTS FOR WATER SUPPLIES,First Revision,Sanitary Appliances and Water Fittings,"General requirements regarding materials, TABLE 1 - SOCKET DIMENSIONS manufacture, methods of test, inspection and marking Nominal Minimum Mean Socket Internal of all types of injection moulded PVC socket fittings Size Socket Diameter at Mid-Point intended for connection, by using solvent cement, to Length of Socket Length PVC pipes covered by IS 4985 : 1988 [Specification for Min Max unplasticized PVC pipes for potable water supplies (1) (2) (3) (4) (second revision) for water supplies. 16 14 16.1 16.3",Nominal Minimum Mean Socket Internal | 4. Thickness —Minimum of 3 mm. | Diameter — Maximum tolerance (Maximum dia. minus | 5.1 Minimum socket length (L) of any fitting shall be Minimum dia) shall be | = 0.5 D + 6 mm (subject to a minimum of 12 mm) where D | b) equal to 0.2 mm (if 0.007 D is less than | Unplasticized PVC pipes for potable water supplies than 0.2 percent of visible light falling on it. | of fitting shall not exceed the following : (third extraction),
